;mapped_veh_id;timestamps_UTC;lat;lon;RS_E_InAirTemp_PC1;RS_E_InAirTemp_PC2;RS_E_OilPress_PC1;RS_E_OilPress_PC2;RS_E_RPM_PC1;RS_E_RPM_PC2;RS_E_WatTemp_PC1;RS_E_WatTemp_PC2;RS_T_OilTemp_PC1;RS_T_OilTemp_PC2
29;125;2023-08-24 12:06:22;51.2158504;4.4209835;40.0;36.0;210.0;224.0;792.0;804.0;77.0;82.0;78.0;81.0
30;152;2023-08-01 06:17:55;50.37212565;4.391697150000001;41.5;38.5;365.0;396.5;1496.5;1498.0;83.0;82.5;87.0;88.0
31;136;2023-08-24 12:43:26;50.9355685;5.3091134;36.0;28.0;220.0;279.0;799.0;799.0;81.0;81.0;78.0;76.0
32;154;2023-08-01 06:42:48;51.2143514;5.3878571;42.0;42.0;414.0;382.0;1806.0;1821.0;88.0;86.0;84.0;82.0
33;182;2023-08-01 06:46:16;51.002591;3.7972413;31.0;38.0;348.0;355.0;1574.0;1586.0;85.0;83.0;85.0;87.0
34;109;2023-08-01 07:02:27;51.0159203;3.7748108;56.0;56.0;3.0;20.0;0.0;0.0;82.0;79.0;83.0;77.0
35;176;2023-08-01 07:02:31;51.0358552;3.7106578;34.0;30.0;169.0;186.0;811.0;800.0;88.0;85.0;93.0;88.0
36;151;2023-08-24 13:18:58;51.0167598;3.7712348;31.0;38.0;193.0;234.0;798.0;805.0;79.0;83.0;80.0;86.0
37;146;2023-08-01 07:06:56;51.0399821;3.6934477;30.0;21.0;238.0;258.0;798.0;801.0;77.0;82.0;79.0;77.0
38;183;2023-08-24 13:37:17;51.0398141;3.6959117;36.0;35.0;248.0;196.0;801.0;800.0;84.0;82.0;81.0;82.0
